X: -99.000000, Y: -64.000000, Z: -81.000000, Data: 2.970000
X: -99.000000, Y: -64.000000, Z: -80.000000, Data: 2.435000
X: -99.000000, Y: -64.000000, Z: -79.000000, Data: 1.862500
X: -99.000000, Y: -64.000000, Z: -78.000000, Data: 1.633750
X: -99.000000, Y: -64.000000, Z: -77.000000, Data: 1.578750
X: -99.000000, Y: -64.000000, Z: -76.000000, Data: 1.646250
X: -99.000000, Y: -64.000000, Z: -75.000000, Data: 1.433750
X: -99.000000, Y: -64.000000, Z: -74.000000, Data: 1.093750
X: -99.000000, Y: -64.000000, Z: -73.000000, Data: 0.903750
X: -99.000000, Y: -64.000000, Z: -72.000000, Data: 0.742500
X: -99.000000, Y: -64.000000, Z: -71.000000, Data: 0.681250
X: -99.000000, Y: -64.000000, Z: -70.000000, Data: 0.612500
X: -99.000000, Y: -64.000000, Z: -69.000000, Data: 0.586250
X: -99.000000, Y: -64.000000, Z: -68.000000, Data: 0.690000
X: -99.000000, Y: -64.000000, Z: -67.000000, Data: 0.708750
X: -99.000000, Y: -64.000000, Z: -66.000000, Data: 0.597500
X: -99.000000, Y: -64.000000, Z: -65.000000, Data: 0.568750
X: -99.000000, Y: -64.000000, Z: -64.000000, Data: 0.646250
X: -99.000000, Y: -64.000000, Z: -63.000000, Data: 1.030000
X: -99.000000, Y: -64.000000, Z: -62.000000, Data: 1.295000
X: -99.000000, Y: -64.000000, Z: -61.000000, Data: 1.768750
X: -99.000000, Y: -64.000000, Z: -60.000000, Data: 2.775000
X: -99.000000, Y: -64.000000, Z: -59.000000, Data: 3.665000
X: -99.000000, Y: -64.000000, Z: -58.000000, Data: 4.650000
X: -99.000000, Y: -64.000000, Z: -57.000000, Data: 4.820000
X: -99.000000, Y: -65.000000, Z: -57.000000, Data: 5.191250
X: -99.000000, Y: -65.000000, Z: -58.000000, Data: 5.048750
X: -99.000000, Y: -65.000000, Z: -59.000000, Data: 3.971250
X: -99.000000, Y: -65.000000, Z: -60.000000, Data: 2.831250
X: -99.000000, Y: -65.000000, Z: -61.000000, Data: 1.820000
X: -99.000000, Y: -65.000000, Z: -62.000000, Data: 1.295000
X: -99.000000, Y: -65.000000, Z: -63.000000, Data: 0.910000
X: -99.000000, Y: -65.000000, Z: -64.000000, Data: 0.633750
X: -99.000000, Y: -65.000000, Z: -65.000000, Data: 0.555000
X: -99.000000, Y: -65.000000, Z: -66.000000, Data: 0.621250
X: -99.000000, Y: -65.000000, Z: -67.000000, Data: 0.692500
X: -99.000000, Y: -65.000000, Z: -68.000000, Data: 0.636250
X: -99.000000, Y: -65.000000, Z: -69.000000, Data: 0.563750
X: -99.000000, Y: -65.000000, Z: -70.000000, Data: 0.630000
X: -99.000000, Y: -65.000000, Z: -71.000000, Data: 0.610000
X: -99.000000, Y: -65.000000, Z: -72.000000, Data: 0.746250
X: -99.000000, Y: -65.000000, Z: -73.000000, Data: 0.925000
X: -99.000000, Y: -65.000000, Z: -74.000000, Data: 1.100000
X: -99.000000, Y: -65.000000, Z: -75.000000, Data: 1.351250
X: -99.000000, Y: -65.000000, Z: -76.000000, Data: 1.728750
X: -99.000000, Y: -65.000000, Z: -77.000000, Data: 1.806250
X: -99.000000, Y: -65.000000, Z: -78.000000, Data: 1.732500
X: -99.000000, Y: -65.000000, Z: -79.000000, Data: 1.717500
X: -99.000000, Y: -65.000000, Z: -80.000000, Data: 2.188750
X: -99.000000, Y: -65.000000, Z: -81.000000, Data: 2.865000
X: -99.000000, Y: -65.000000, Z: -82.000000, Data: 3.130000
X: -99.000000, Y: -65.000000, Z: -83.000000, Data: 2.761250
X: -99.000000, Y: -65.000000, Z: -84.000000, Data: 2.397500
X: -99.000000, Y: -65.000000, Z: -85.000000, Data: 2.798750
